Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1737120878,3,,Aggregated,1.100000,0.000000,160,170,210,210,250,300,320,320,320,320,320,70,0,160.0,184.25529714285756,151.79950000000275,316.63610000000375,196.0
1737120879,3,,Aggregated,1.200000,0.000000,160,170,210,210,240,300,320,320,320,320,320,71,0,160.0,184.04691971831028,151.79950000000275,316.63610000000375,196.0
1737120880,3,,Aggregated,1.200000,0.000000,160,170,210,210,240,300,320,320,320,320,320,72,0,160.0,183.68820972222258,151.79950000000275,316.63610000000375,196.0
1737120881,3,,Aggregated,1.300000,0.000000,160,170,200,210,240,300,320,320,320,320,320,74,0,160.0,183.44153108108156,151.79950000000275,316.63610000000375,196.0
1737120882,3,,Aggregated,1.200000,0.000000,160,170,200,210,240,300,320,320,320,320,320,76,0,160.0,183.081848684211,151.79950000000275,316.63610000000375,196.0
1737120883,3,,Aggregated,1.200000,0.000000,160,170,200,210,240,300,320,320,320,320,320,76,0,160.0,183.081848684211,151.79950000000275,316.63610000000375,196.0
1737120884,3,,Aggregated,1.400000,0.000000,160,170,180,210,240,300,320,320,320,320,320,78,0,160.0,182.5786679487183,151.79950000000275,316.63610000000375,196.0
1737120885,3,,Aggregated,1.400000,0.000000,160,170,180,210,240,300,320,320,320,320,320,79,0,160.0,182.32962658227888,151.79950000000275,316.63610000000375,196.0
1737120886,3,,Aggregated,1.400000,0.000000,160,170,180,210,240,290,320,320,320,320,320,81,0,160.0,181.68200864197573,151.79950000000275,316.63610000000375,196.0
1737120887,3,,Aggregated,1.300000,0.000000,160,170,180,210,240,290,320,320,320,320,320,82,0,160.0,181.42693292682975,151.79950000000275,316.63610000000375,196.0
1737120888,3,,Aggregated,1.400000,0.000000,160,170,180,210,240,290,320,320,320,320,320,83,0,160.0,181.17331445783188,151.79950000000275,316.63610000000375,196.0
1737120889,3,,Aggregated,1.400000,0.000000,160,170,180,210,240,290,320,320,320,320,320,84,0,160.0,180.9546130952387,151.79950000000275,316.63610000000375,196.0
1737120890,3,,Aggregated,1.300000,0.000000,160,170,170,210,240,290,320,320,320,320,320,86,0,160.0,180.5248813953495,151.79950000000275,316.63610000000375,196.0
1737120891,3,,Aggregated,1.300000,0.000000,160,170,170,210,240,290,320,320,320,320,320,86,0,160.0,180.5248813953495,151.79950000000275,316.63610000000375,196.0
1737120892,3,,Aggregated,1.300000,0.000000,160,170,180,210,240,290,320,320,320,320,320,88,0,160.0,180.3860590909098,151.79950000000275,316.63610000000375,196.0
1737120893,3,,Aggregated,1.400000,0.000000,160,170,170,210,240,290,320,320,320,320,320,89,0,160.0,180.14749438202315,151.79950000000275,316.63610000000375,196.0
1737120894,3,,Aggregated,1.200000,0.000000,160,170,180,210,240,290,320,320,320,320,320,91,0,160.0,182.54002307692377,151.79950000000275,316.63610000000375,196.0
1737120895,3,,Aggregated,1.200000,0.000000,160,170,180,210,240,290,320,320,320,320,320,92,0,160.0,182.26785869565273,151.79950000000275,316.63610000000375,196.0
1737120896,3,,Aggregated,1.200000,0.000000,160,170,180,210,240,290,320,320,320,320,320,92,0,160.0,182.26785869565273,151.79950000000275,316.63610000000375,196.0
1737120897,3,,Aggregated,1.300000,0.000000,160,170,180,210,270,300,320,320,320,320,320,95,0,160.0,184.48766947368475,151.79950000000275,316.63610000000375,196.0
1737120898,3,,Aggregated,1.300000,0.000000,160,170,180,210,270,300,320,320,320,320,320,96,0,160.0,184.37314583333387,151.79950000000275,316.63610000000375,196.0
1737120899,3,,Aggregated,1.300000,0.000000,160,170,180,210,270,300,320,320,320,320,320,97,0,160.0,184.1730628865985,151.79950000000275,316.63610000000375,196.0
1737120900,3,,Aggregated,1.300000,0.000000,160,170,180,210,270,300,320,320,320,320,320,99,0,160.0,183.85923333333406,151.79950000000275,316.63610000000375,196.0
1737120901,3,,Aggregated,1.300000,0.000000,160,170,180,210,270,300,320,320,320,320,320,99,0,160.0,183.85923333333406,151.79950000000275,316.63610000000375,196.0
1737120902,3,,Aggregated,1.300000,0.000000,160,170,180,210,250,290,310,320,320,320,320,101,0,160.0,185.0110782178226,151.79950000000275,316.63610000000375,196.0
1737120903,3,,Aggregated,1.300000,0.000000,160,170,180,210,250,290,310,320,320,320,320,103,0,160.0,184.53386699029198,151.79950000000275,316.63610000000375,196.0
1737120904,3,,Aggregated,1.300000,0.000000,160,170,180,210,250,290,310,320,320,320,320,103,0,160.0,184.53386699029198,151.79950000000275,316.63610000000375,196.0
1737120905,3,,Aggregated,1.300000,0.000000,160,170,200,210,270,290,310,320,320,320,320,106,0,160.0,185.9163622641516,151.79950000000275,316.63610000000375,196.0
1737120906,3,,Aggregated,1.300000,0.000000,160,170,200,210,270,290,310,320,320,320,320,106,0,160.0,185.9163622641516,151.79950000000275,316.63610000000375,196.0
1737120907,3,,Aggregated,1.200000,0.000000,160,170,200,210,270,290,310,320,320,320,320,107,0,160.0,185.62106822429976,151.79950000000275,316.63610000000375,196.0
1737120909,3,,Aggregated,1.400000,0.000000,160,170,180,210,270,290,310,320,320,320,320,109,0,160.0,185.18754403669794,151.79950000000275,316.63610000000375,196.0
1737120910,3,,Aggregated,1.400000,0.000000,160,170,180,210,270,290,310,320,320,320,320,110,0,160.0,184.95228363636446,151.79950000000275,316.63610000000375,196.0
1737120911,3,,Aggregated,1.300000,0.000000,160,170,210,210,250,290,310,320,320,320,320,112,0,160.0,186.10754196428644,151.79950000000275,316.63610000000375,196.0
1737120912,3,,Aggregated,1.200000,0.000000,160,170,200,210,250,290,310,320,320,320,320,113,0,160.0,185.86518141592992,151.79950000000275,316.63610000000375,196.0
1737120913,3,,Aggregated,1.300000,0.000000,160,170,200,210,250,290,310,320,320,320,320,115,0,160.0,185.36260260869636,151.79950000000275,316.63610000000375,196.0
1737120914,3,,Aggregated,1.300000,0.000000,160,170,200,210,250,290,310,320,320,320,320,115,0,160.0,185.36260260869636,151.79950000000275,316.63610000000375,196.0
